row,column,value
0,86,89
0,104,56
0,246,9
0,263,84
0,283,82
0,289,36
0,334,99
0,339,16
0,350,10
0,362,23
0,388,17
0,437,46
0,442,42
0,446,20
0,542,61
0,617,92
0,670,33
0,699,18
0,710,7
0,737,62
0,767,49
0,821,43
0,846,14
0,942,17
0,979,38
0,1060,48
0,1085,42
0,1136,31
0,1195,16
0,1247,87
0,1368,98
0,1610,68
0,1619,39
0,1712,44
0,1767,61
0,1823,79
0,1903,74
0,1914,92
0,1916,42
0,1923,84
0,1944,44
0,2014,32
0,2075,48
0,2115,11
0,2120,70
0,2135,15
0,2151,4
0,2162,99
0,2176,62
0,2180,40
0,2186,75
0,2246,80
0,2252,46
0,2254,93
0,2441,13
0,2452,13
0,2584,75
0,2596,23
0,2661,84
0,2673,32
0,2706,1
0,2717,28
0,2740,3
0,2785,9
1,37,32
1,84,66
1,92,64
1,177,25
1,247,64
1,250,73
1,257,99
1,279,98
1,287,36
1,313,51
1,327,35
1,340,50
1,362,68
1,480,49
1,606,8
1,618,35
1,646,75
1,656,53
1,863,88
1,881,63
1,917,27
1,926,14
1,937,2
1,1018,49
1,1057,95
1,1062,70
1,1098,70
1,1212,75
1,1219,9
1,1220,62
1,1251,70
1,1430,21
1,1513,46
1,1528,16
1,1573,55
1,1583,12
1,1646,3
1,1733,67
1,1756,20
1,1774,22
1,1786,17
1,1822,62
1,1829,89
1,1903,51
1,1951,3
1,2010,54
1,2014,57
1,2173,61
1,2225,24
1,2254,13
1,2304,62
1,2308,31
1,2358,71
1,2402,48
1,2415,21
1,2418,9
1,2426,87
1,2506,96
1,2557,86
1,2571,72
1,2574,35
1,2617,73
1,2639,38
1,2690,6
1,2709,74
1,2714,62
2,24,22
2,60,37
2,89,50
2,126,93
2,138,37
2,149,27
2,204,65
2,286,16
2,303,93
2,339,76
2,397,9
2,424,78
2,495,86
2,539,45
2,560,14
2,630,27
2,640,41
2,664,22
2,674,58
2,685,17
2,708,6
2,803,19
2,826,92
2,861,18
2,869,9
2,913,64
2,969,53
2,1047,45
2,1085,28
2,1095,96
2,1122,90
2,1124,69
2,1128,55
2,1209,34
2,1228,77
2,1327,29
2,1382,66
2,1421,1
2,1441,77
2,1460,73
2,1476,76
2,1547,81
2,1605,68
2,1662,15
2,1689,46
2,1724,43
2,1791,65
2,1793,83
2,1816,85
2,1820,38
2,1920,26
2,1969,74
2,1977,7
2,2019,66
2,2060,34
2,2081,95
2,2117,70
2,2141,54
2,2163,71
2,2175,57
2,2239,78
2,2257,88
2,2267,20
2,2298,48
2,2403,72
2,2426,84
2,2441,66
2,2480,61
2,2496,14
2,2544,87
2,2555,82
2,2600,15
2,2605,85
2,2611,75
2,2708,39
2,2733,24
2,2755,72
2,2767,1
2,2773,16
2,2788,27
3,12,70
3,30,58
3,177,86
3,198,10
3,275,46
3,303,58
3,413,81
