row,column,value
0,60,26
0,79,17
0,84,13
0,177,32
0,232,96
0,240,64
0,261,29
0,287,61
0,299,93
0,320,58
0,355,11
0,452,35
0,461,58
0,544,48
0,560,78
0,608,44
0,618,42
0,697,48
0,748,48
0,755,76
0,786,45
0,803,97
0,851,53
0,872,31
0,873,74
0,885,7
0,957,85
0,1038,60
0,1094,79
0,1116,57
0,1212,65
0,1225,42
0,1268,27
0,1271,87
0,1352,66
0,1432,70
0,1493,11
0,1525,39
0,1571,9
0,1591,41
0,1602,84
0,1604,68
0,1616,16
0,1686,12
0,1703,32
0,1708,41
0,1809,6
0,1823,86
0,1843,46
0,1891,12
0,1907,19
0,1943,75
0,1950,38
0,1992,72
0,2011,29
0,2029,85
0,2107,29
0,2124,67
0,2162,52
0,2168,54
0,2231,18
0,2237,36
0,2331,4
0,2393,2
0,2448,57
0,2452,70
0,2456,33
0,2558,77
0,2584,59
0,2590,77
0,2616,76
0,2654,29
0,2655,4
0,2663,41
0,2732,81
1,40,67
1,54,29
1,79,31
1,81,70
1,202,96
1,209,75
1,261,99
1,368,33
1,434,87
1,545,44
1,590,29
1,601,99
1,633,88
1,664,33
1,712,53
1,730,82
1,844,16
1,863,78
1,866,30
1,873,51
1,954,28
1,1022,58
1,1040,81
1,1067,31
1,1090,97
1,1101,6
1,1127,90
1,1138,52
1,1146,70
1,1267,48
1,1335,98
1,1365,46
1,1370,33
1,1390,16
1,1406,52
1,1421,63
1,1434,58
1,1443,94
1,1455,94
1,1495,64
1,1609,38
1,1629,49
1,1655,10
1,1677,54
1,1717,40
1,1790,68
1,1830,51
1,1848,42
1,1899,48
1,1912,38
1,1919,16
1,1928,75
1,1974,31
1,2070,73
1,2138,9
1,2195,86
1,2260,67
1,2297,34
1,2367,61
1,2378,11
1,2435,30
1,2482,59
1,2531,27
1,2544,60
1,2571,50
1,2589,58
1,2611,40
1,2636,57
1,2641,91
1,2646,59
1,2651,93
1,2687,24
1,2752,87
1,2754,75
1,2776,42
2,0,91
2,7,41
2,26,57
2,185,6
2,233,83
2,234,73
2,254,17
2,301,13
2,336,59
2,373,15
2,413,88
2,423,82
2,428,26
2,446,43
2,451,77
2,462,70
2,528,71
2,538,65
2,539,54
2,614,89
2,619,23
2,640,53
2,669,73
